Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
829,Larson,21,27.9,6.6,7.1,NA,1,NA
830,Larson,29,35.4,5.6,9.3,160,NA,NA
831,Larson,25,37.1,4.8,6,NA,0.8,NA
832,Larson,27,65,5.5,8.4,NA,0.7,NA
833,Larson,20,37.6,4.7,NA,NA,0.7,NA
834,Larson,NA,32.9,6.5,6.5,NA,NA,NA
835,Larson,30,41.9,5.4,5.2,139,0.9,NA
836,Larson,NA,54.3,8.3,7.7,NA,1.1,NA
837,Larson,33,46.1,6,6.5,158,2.3,NA
838,Larson,24,54.6,5.7,5.7,137,1.6,NA
839,Larson,NA,35.2,5.7,5.5,NA,1.5,NA
840,Larson,19,24.1,5.1,4.7,139,NA,NA
841,Larson,32,55.2,6.9,7.6,NA,0.9,NA
842,Larson,27,31.7,8.6,7.3,158,1.2,NA
843,Larson,34,59.2,6,5.3,146,0.8,NA
844,Larson,31,60.5,5.5,7.4,145,1.2,NA
845,Larson,27,36.1,6.4,6.8,145,1.6,NA
846,Larson,27,47.5,7.1,6.3,NA,1.4,NA
847,Larson,NA,36.5,6.5,6.8,NA,1.2,NA
848,Larson,31,35.2,5.5,6.8,152,NA,NA
849,Larson,32,41.8,7.3,10.6,147,2,NA
850,Larson,NA,NA,6.9,NA,NA,1,NA
851,Larson,NA,45,5.5,NA,NA,1,NA
875,Ten Mile Creek,33,56.9,6.5,6.3,NA,1.2,NA
876,Morton Village,30,61.1,6.1,8.3,140,1.7,NA
877,Morton Village,NA,NA,7,NA,NA,1,NA
878,Morton Village,35,42,6,8.6,155,1.5,NA
879,Morton Village,NA,NA,NA,7.1,146,0.8,NA
880,Morton Village,31,51.9,6.5,4.7,149,1,NA
892,Morton Village,31,95.7,6.6,5.6,130,1.2,NA
893,Morton Village,26,63.3,6.4,6,134,NA,NA
894,Myer-Dickson,34,62.8,8.2,5.9,NA,1,NA
895,Houston-Shryock,29,60.5,7.6,7,NA,1.1,NA
896,Houston-Shryock,NA,48.1,8.1,5.8,NA,NA,NA
897,Houston-Shryock,NA,NA,5.7,NA,NA,1.7,NA
898,Houston-Shryock,25,34,6.2,7.8,NA,1.4,NA
899,Houston-Shryock,27,38.7,6.9,5.4,151,2.3,NA
900,Houston-Shryock,NA,NA,6,NA,NA,1.4,NA
901,Houston-Shryock,NA,NA,8.2,NA,NA,1.8,NA
902,Houston-Shryock,NA,51.9,NA,7.5,NA,1.9,NA
903,Houston-Shryock,NA,NA,NA,11.7,NA,NA,NA
904,Houston-Shryock,33,NA,7.2,NA,NA,1.1,NA
905,Houston-Shryock,NA,NA,8.5,NA,NA,1.4,NA
906,Houston-Shryock,NA,72.1,8.1,7,NA,1.2,NA
907,Houston-Shryock,NA,NA,8.8,NA,NA,1.4,NA
908,Houston-Shryock,28,32.2,6,6.3,153,1.7,NA
909,Houston-Shryock,NA,48,6.9,9.1,135,2.1,NA
910,Houston-Shryock,NA,52.5,6.9,5.9,139,NA,NA
911,Houston-Shryock,NA,NA,5.8,NA,NA,2.3,NA
926,Houston-Shryock,NA,NA,6.2,NA,NA,3.3,NA
927,Houston-Shryock,24,45.5,6,7.1,151,NA,NA
928,Houston-Shryock,29,NA,6.6,NA,NA,1.7,NA
929,Houston-Shryock,28,NA,5,NA,NA,3.4,NA
930,Houston-Shryock,NA,52.1,5.7,6.9,NA,0.7,NA
931,Houston-Shryock,NA,NA,7.3,NA,NA,1.2,NA
932,Houston-Shryock,NA,25.7,4,8.7,145,NA,NA
933,Houston-Shryock,NA,33.4,6,5.3,115,1.4,NA
934,Houston-Shryock,NA,36.5,6.4,5.4,118,2.1,NA
935,Houston-Shryock,NA,52.3,6.8,NA,NA,1,NA
952,Star Bridge,29,64.4,6.8,8,160,NA,NA
953,Star Bridge,30,22.6,5.4,4.2,163,NA,NA
954,Star Bridge,NA,47.4,6.7,11.7,NA,0.8,NA
955,Star Bridge,31,36.9,7.4,6.4,144,NA,NA
956,Star Bridge,27,49.1,7.2,7.2,149,1.2,NA
957,Star Bridge,24,32,7,6.8,139,NA,NA
1022,Kingston Lake,31,34.1,7.3,NA,140,NA,NA
1023,Kingston Lake,29,31.2,5.2,NA,146,NA,3.9
1024,Emmons,27,24.8,5.3,NA,135,NA,NA
1067,Crable,25,60.4,6.5,8.5,131,2.8,NA
1068,Crable,29,86.6,5.7,7.8,127,0.8,NA
1069,Crable,36,51.9,8.4,6.7,135,1.1,NA
1070,Crable,NA,91,6.6,7,NA,0.8,NA
1071,Crable,27,33.8,7.9,11.5,134,NA,NA
1072,Crable,29,63.2,7.4,6.4,148,NA,2.7
1073,Crable,NA,32.5,4.7,8.8,NA,NA,2.3
1074,Crable,NA,75.8,6.4,4.8,NA,NA,2
